City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tsimmerbude,94,RU,1584475467,80,54.67,20.13,41.0,6.71
Butaritari,1,KI,1584475470,76,3.07,172.79,82.85,14.23
Puerto Ayora,20,EC,1584475471,66,-0.74,-90.35,84.2,11.41
Cabo San Lucas,75,MX,1584475472,53,22.89,-109.91,82.4,3.36
Namatanai,100,PG,1584475474,78,-3.67,152.43,81.95,8.68
Punta Arenas,75,CL,1584475200,50,-53.15,-70.92,57.2,29.97
Doha,0,QA,1584475456,78,25.29,51.53,73.99,10.29
Novoagansk,100,RU,1584475479,96,61.94,76.66,21.29,1.83
Severo-Kuril'sk,100,RU,1584475481,91,50.68,156.12,17.15,11.23
New Norfolk,75,AU,1584475483,49,-42.78,147.06,68.0,10.29
Calamar,20,CO,1584475484,59,10.25,-74.91,89.6,19.46
Port Macquarie,91,AU,1584475486,100,-31.43,152.92,60.01,5.82
Cape Town,12,ZA,1584475200,88,-33.93,18.42,68.0,13.87
Chui,100,UY,1584475491,70,-33.7,-53.46,71.87,13.33
Bluff,6,NZ,1584475452,96,-46.6,168.33,39.99,1.01
Lüderitz,0,NA,1584475495,82,-26.65,15.16,64.4,16.11
Tuktoyaktuk,90,CA,1584475497,84,69.45,-133.04,-0.4,9.17
West Bay,75,KY,1584475499,74,19.37,-81.42,82.4,14.99
Avarua,100,CK,1584475384,83,-21.21,-159.78,80.6,18.34
Hong Kong,40,HK,1584475322,73,22.29,114.16,72.0,8.05
Paamiut,92,GL,1584475505,55,61.99,-49.67,12.29,9.37
Ribeira Grande,20,PT,1584475506,82,38.52,-28.7,64.4,11.41
Hilo,90,US,1584475479,83,19.73,-155.09,75.2,13.87
Port Alfred,47,ZA,1584475473,98,-33.59,26.89,66.99,7.0
Hobart,75,AU,1584475354,49,-42.88,147.33,68.0,10.29
Qaanaaq,96,GL,1584475468,60,77.48,-69.36,-19.39,5.75
Vostok,57,RU,1584475515,91,46.49,135.88,12.29,5.41
Lagos,20,NG,1584475333,83,6.58,3.75,84.2,8.05
Busselton,68,AU,1584475522,97,-33.65,115.33,52.0,17.16
Rikitea,6,PF,1584475453,79,-23.12,-134.97,80.51,14.43
Miles City,1,US,1584475525,52,46.41,-105.84,44.6,8.05
Yellowknife,75,CA,1584475527,58,62.46,-114.35,-5.01,5.82
Ushuaia,75,AR,1584475467,47,-54.8,-68.3,57.2,4.7
Mehamn,75,NO,1584475532,85,71.04,27.85,23.0,2.24
Mar del Plata,100,AR,1584475278,77,-38.0,-57.56,75.0,5.82
Tasiilaq,20,GL,1584475536,78,65.61,-37.64,14.0,2.24
Clyde River,75,CA,1584475515,75,70.47,-68.59,-16.6,16.11
Caravelas,0,BR,1584475513,79,-17.71,-39.25,81.23,12.15
East London,100,ZA,1584475256,82,-33.02,27.91,70.61,13.85
Leningradskiy,100,RU,1584475542,77,69.38,178.42,25.79,7.83
Iracoubo,54,GF,1584475545,77,5.48,-53.2,80.69,13.69
Rincon,1,US,1584475417,61,32.3,-81.24,81.0,1.86
Upernavik,15,GL,1584475514,50,72.79,-56.15,-12.01,6.2
Coquimbo,20,CL,1584475551,68,-29.95,-71.34,66.2,12.75
Lavrentiya,100,RU,1584475553,96,65.58,-171.0,27.23,8.79
Izumo,75,JP,1584475557,87,35.37,132.77,50.0,3.36
Castro,0,BR,1584475458,80,-24.79,-50.01,72.05,5.39
